Stud installation at ceiling,Steel ceiling beam,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,,,,,
Rockwool in-fill and fire board installation at ceiling surface,Promatect Hboard,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,ceiling system contains promatect Hboard,ceiling system contains rockwool,ceiling system contains gemtree FRP board,Gemtree FRP Board,Gemtree Board,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,,,
Layer and coat painting,Anti-mould Emulsion Paint,Emulsion Paint,Ceiling panel,Wall panel,ceiling system contains ceiling panel,ceiling system contains studs,wall system contains wall panel,wall system contains studs,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Emulsion ,Emulsion ,
Installation of lighting,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,cable trunking belongs-to lighting system,flexible conduit  belongs-to lighting system,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,Flexible Conduit,Label,,
Electrical Cable Wiring,Busbar Chamber,Non-Armoured Cable,Amoured wiring,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable
Installation of MEP trunking at ceiling,Cable Trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,ceiling system contains cable trunking,,,
Installation of sprinkler pipes,Galvanized Steel Pipes,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Fire Alarm,Grooved Couplings,Fire Detector,
Window type AC installation,Window type AC,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan
Installation of Vinyl floor and skirting,Non-slip PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,,
Cabinets installation,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Toilet cabinet,Sink Cabinet,
Board pretreatment and punching,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,none contains gemtree FRP board,none contains gypsum board,none contains promatect HBoard,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Lysaght Bondek,,,
2D panel assembly ,Corrugated profile,Corrugated profile,Composite floor slab,Shear stud,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,Composite floor slab,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,,,,,,
Butt weld and fillet weld,Welding Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,,,
3D assembly,2D panel,Corner Casting,Steel Column,Steel Angle,Shear stud,CandleLoc System,Steel ceiling beam,Steel Purlins,Steel floor beam,space contains shear Stud,space contains steel ceiling beam,Corner Casting,Steel Column,Steel Angle,Corner Casting,Steel Column,Steel Angle,,,,
Apply fire paint at strucutral member,3D steel frame,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,,,
Rebar Fixing,Spacer,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,,
Pouring Concrete,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,,,,
Door ironmongery and windows installation,Door Ironmongery,Aluminium Window,FRP Timber Door,Non-FRP Timber Door,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,,
Door and window frame installation,Aluminium Cladding,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Hardwood Solid Core Flush Doors,Door threshold,Acoustic Insulation,Overhead Door Closer,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Door threshold,Acoustic Insulation,Overhead Door Closer,,,
Installation of gypsum board at wall surface,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,wall system contains gypsum board,wall system contains laminates,wall system contains finishings,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,,
Installation of MEP conduit at wall surface,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,flexible conduit belongs-to MEP system,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits
Stud installation at wall,Metal Skeleton,Shear stud,Runners,Wall panel,Track,Channel,Wall Tiles,Noggins and Braces,wall system contains shear stud,wall system contains wall panel,Track,Channel,Wall Tiles,Noggins and Braces,,wall system contains shear stud,wall system contains wall panel,wall system contains shear stud,wall system contains wall panel,,
Rockwool in-fill and 2 layer of fire board installation at wall surface,Promatect Hboard,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,
Stud installation at ceiling,Steel ceiling beam,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,,,,,
Rockwool in-fill and fire board installation at ceiling surface,Promatect Hboard,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,ceiling system contains promatect Hboard,ceiling system contains rockwool,ceiling system contains gemtree FRP board,Gemtree FRP Board,Gemtree Board,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,,,
Layer and coat painting,Anti-mould Emulsion Paint,Emulsion Paint,Ceiling panel,Wall panel,ceiling system contains ceiling panel,ceiling system contains studs,wall system contains wall panel,wall system contains studs,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Emulsion ,Emulsion ,
Installation of lighting,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,cable trunking belongs-to lighting system,flexible conduit  belongs-to lighting system,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,Flexible Conduit,Label,,
Electrical Cable Wiring,Busbar Chamber,Non-Armoured Cable,Amoured wiring,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable
Installation of MEP trunking at ceiling,Cable Trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,ceiling system contains cable trunking,,,
Installation of sprinkler pipes,Galvanized Steel Pipes,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Fire Alarm,Grooved Couplings,Fire Detector,
Window type AC installation,Window type AC,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan
Installation of Vinyl floor and skirting,Non-slip PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,,
Cabinets installation,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Toilet cabinet,Sink Cabinet,
Board pretreatment and punching,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,none contains gemtree FRP board,none contains gypsum board,none contains promatect HBoard,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Lysaght Bondek,,,
2D panel assembly ,Corrugated profile,Corrugated profile,Composite floor slab,Shear stud,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,Composite floor slab,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,,,,,,
Butt weld and fillet weld,Welding Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,,,
3D assembly,2D panel,Corner Casting,Steel Column,Steel Angle,Shear stud,CandleLoc System,Steel ceiling beam,Steel Purlins,Steel floor beam,space contains shear Stud,space contains steel ceiling beam,Corner Casting,Steel Column,Steel Angle,Corner Casting,Steel Column,Steel Angle,,,,
Apply fire paint at strucutral member,3D steel frame,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,,,
Rebar Fixing,Spacer,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,,
Pouring Concrete,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,,,,
Door ironmongery and windows installation,Door Ironmongery,Aluminium Window,FRP Timber Door,Non-FRP Timber Door,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,,
Door and window frame installation,Aluminium Cladding,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Hardwood Solid Core Flush Doors,Door threshold,Acoustic Insulation,Overhead Door Closer,Rockwool Acoustic Insulation,Door threshold,Acoustic Insulation,Overhead Door Closer,Door Frame,Door threshold,Acoustic Insulation,Overhead Door Closer,,,
Installation of gypsum board at wall surface,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,wall system contains gypsum board,wall system contains laminates,wall system contains finishings,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,Laminate for wall finsishes,Finishings,Laminates,,
Installation of MEP conduit at wall surface,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,flexible conduit belongs-to MEP system,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits
Stud installation at wall,Metal Skeleton,Shear stud,Runners,Wall panel,Track,Channel,Wall Tiles,Noggins and Braces,wall system contains shear stud,wall system contains wall panel,Track,Channel,Wall Tiles,Noggins and Braces,,wall system contains shear stud,wall system contains wall panel,wall system contains shear stud,wall system contains wall panel,,
Rockwool in-fill and 2 layer of fire board installation at wall surface,Promatect Hboard,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,wall system contains rockwool,Rockwool,Mineral Wool Insulation,wall system contains promatect Hboard,
Stud installation at ceiling,Steel ceiling beam,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,Ceiling panel,Shear stud,ceiling system contains steel ceiling beam,ceiling system contains shear stud,ceiling system contains ceiling panel,,,,,
Rockwool in-fill and fire board installation at ceiling surface,Promatect Hboard,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,ceiling system contains promatect Hboard,ceiling system contains rockwool,ceiling system contains gemtree FRP board,Gemtree FRP Board,Gemtree Board,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,Gemtree FRP Board,Elastometric Cemenititious Waterproofing Membrane,Rockwool,,,
Layer and coat painting,Anti-mould Emulsion Paint,Emulsion Paint,Ceiling panel,Wall panel,ceiling system contains ceiling panel,ceiling system contains studs,wall system contains wall panel,wall system contains studs,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Ceiling panel,Wall panel,Emulsion Paint,Emulsion ,Emulsion ,
Installation of lighting,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,cable trunking belongs-to lighting system,flexible conduit  belongs-to lighting system,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,Flexible Conduit,Label,,
Electrical Cable Wiring,Busbar Chamber,Non-Armoured Cable,Amoured wiring,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,PVC cable,SWA copper cable,Cable Tray,PVC copper cable
Installation of MEP trunking at ceiling,Cable Trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,ceiling system contains cable trunking,ceiling system contains cable trunking,,,
Installation of sprinkler pipes,Galvanized Steel Pipes,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Fire Alarm,Grooved Couplings,Fire Detector,
Window type AC installation,Window type AC,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan
Installation of Vinyl floor and skirting,Non-slip PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,,
Cabinets installation,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,Toilet cabinet,Sink Cabinet,
Board pretreatment and punching,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,none contains gemtree FRP board,none contains gypsum board,none contains promatect HBoard,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Lysaght Bondek,,,
2D panel assembly ,Corrugated profile,Corrugated profile,Composite floor slab,Shear stud,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,Composite floor slab,ceil system contains corrugated profile,plane contains shear stud,wall system contains corrugated profile,Composite floor slab,wall system contains corrugated profile,,,,,,
Butt weld and fillet weld,Welding Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Electrode,Welding Electrode,Welding Electrode,Electrode,Welding Electrode,Electrode,Welding Electrode,,,
3D assembly,2D panel,Corner Casting,Steel Column,Steel Angle,Shear stud,CandleLoc System,Steel ceiling beam,Steel Purlins,Steel floor beam,space contains shear Stud,space contains steel ceiling beam,Corner Casting,Steel Column,Steel Angle,Corner Casting,Steel Column,Steel Angle,,,,
Apply fire paint at strucutral member,3D steel frame,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,,,
Rebar Fixing,Spacer,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Tie Wire,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Reinforcement Bar,Bar Chair,,
Pouring Concrete,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Non-shrink Grout,,,,
Door ironmongery and windows installation,Door Ironmongery,Aluminium Window,FRP Timber Door,Non-FRP Timber Door,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,Glass Panel,Timber Door,Hinge,Handle,Latches,,
